epoch,accuracy,auc_1,f1_score,loss,lr,precision_1,recall_1,val_accuracy,val_auc_1,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.6833977103233337,0.7404298782348633,0.6757710576057434,0.11594891548156738,0.001,0.6881809234619141,0.6706885695457458,0.7287644743919373,0.8119332194328308,0.49421489238739014,0.07093902677297592,0.743660032749176,0.6981981992721558
1,0.7759813666343689,0.8511565327644348,0.7693240642547607,0.06655175983905792,0.001,0.7830390930175781,0.7635135054588318,0.8030887842178345,0.9171445369720459,0.5197632908821106,0.05582193285226822,0.9329044222831726,0.6531531810760498
2,0.8393661379814148,0.9173331260681152,0.8360658288002014,0.04824177175760269,0.001,0.8429523706436157,0.8341377377510071,0.8619691133499146,0.9395012259483337,0.6406702995300293,0.04132387042045593,0.8762542009353638,0.8429858684539795
3,0.8584298491477966,0.936611533164978,0.8573849201202393,0.04220939800143242,0.001,0.8519747257232666,0.8675997257232666,0.8867439031600952,0.956860363483429,0.6944217085838318,0.03580435737967491,0.8938401341438293,0.877734899520874
4,0.8891569972038269,0.95622718334198,0.8876115083694458,0.03544967994093895,0.001,0.8832382559776306,0.8968790173530579,0.9134491682052612,0.9730079770088196,0.7489827871322632,0.029468953609466553,0.9320780038833618,0.8918918967247009
5,0.828587532043457,0.9144128561019897,0.8198348879814148,0.04819805175065994,0.001,0.8399068117141724,0.8119369149208069,0.761904776096344,0.8434765338897705,0.5301371216773987,0.06294646114110947,0.7579213976860046,0.769626796245575
6,0.7920688390731812,0.8690541386604309,0.7863796949386597,0.05852664262056351,0.001,0.802432119846344,0.7749356627464294,0.8288288116455078,0.9239445924758911,0.5574207901954651,0.04977066069841385,0.9202302694320679,0.7200772166252136
7,0.8625321984291077,0.9355872273445129,0.8596655130386353,0.042690783739089966,0.001,0.8661251068115234,0.8576254844665527,0.880630612373352,0.9551759958267212,0.6806784868240356,0.03634566441178322,0.8848406076431274,0.8751608729362488
8,0.8794240951538086,0.9500234127044678,0.877912163734436,0.03789316117763519,0.001,0.8763363361358643,0.8835263848304749,0.8822394013404846,0.9602158069610596,0.6769964098930359,0.03458419442176819,0.8586956262588501,0.915057897567749
9,0.8945463299751282,0.9570650458335876,0.892337441444397,0.03517056629061699,0.001,0.8917105793952942,0.8981660008430481,0.8877091407775879,0.9677758812904358,0.7120212912559509,0.03856870159506798,0.9459659457206726,0.8223938345909119
10,0.8285070657730103,0.9101839065551758,0.8203921318054199,0.04946063831448555,0.001,0.8411293029785156,0.8100064396858215,0.8368725776672363,0.9195021390914917,0.5992274880409241,0.04868616536259651,0.837089478969574,0.8365508317947388
11,0.8632560968399048,0.9363260269165039,0.8591671586036682,0.042440664023160934,0.001,0.8718708753585815,0.8516731262207031,0.8967181444168091,0.9688671827316284,0.6937970519065857,0.03311115503311157,0.9356890320777893,0.8519948720932007
12,0.9050031900405884,0.9650042653083801,0.9037544131278992,0.0317683145403862,0.001,0.8946543335914612,0.9181145429611206,0.931145429611206,0.981407642364502,0.7605191469192505,0.022853510454297066,0.9075425863265991,0.9601029753684998
13,0.910875141620636,0.9670647382736206,0.9097269773483276,0.030738551169633865,0.001,0.9055255651473999,0.9174710512161255,0.9337194561958313,0.9822223782539368,0.7740904092788696,0.02318456582725048,0.9376623630523682,0.9292149543762207
14,0.9343629479408264,0.9792081117630005,0.9331048130989075,0.024166246876120567,0.001,0.9246618151664734,0.9457850456237793,0.9440154433250427,0.9880473613739014,0.8068222403526306,0.01950431615114212,0.9486345648765564,0.938867449760437
15,0.9405566453933716,0.9840108752250671,0.9396191835403442,0.021151822060346603,0.001,0.9325541257858276,0.9498069286346436,0.9395109415054321,0.9842872619628906,0.7841376662254333,0.021311307325959206,0.9435064792633057,0.9350064396858215
16,0.9377413392066956,0.9825148582458496,0.9370366930961609,0.02219291403889656,0.001,0.9301296472549438,0.946589469909668,0.9478764533996582,0.9887884259223938,0.790169358253479,0.017920881509780884,0.9355444312095642,0.9620334506034851
17,0.9527831673622131,0.98862224817276,0.952548623085022,0.017621582373976707,0.001,0.9434378743171692,0.9633204340934753,0.9565637111663818,0.9929696917533875,0.8217585682868958,0.01481076329946518,0.9598185420036316,0.9530244469642639
18,0.9554376006126404,0.9896401166915894,0.9545090198516846,0.016661034896969795,0.001,0.9482267498970032,0.9634813666343689,0.896074652671814,0.9894272089004517,0.7225448489189148,0.03758370131254196,0.985027551651001,0.8043758273124695
19,0.9602638483047485,0.9923672676086426,0.9598974585533142,0.014449124224483967,0.001,0.954415500164032,0.9666988253593445,0.9617117047309875,0.993628978729248,0.8225385546684265,0.01334474515169859,0.9470404982566833,0.9781209826469421
20,0.962837815284729,0.9928525686264038,0.9620984792709351,0.013888668268918991,0.001,0.9584130048751831,0.9676640629768372,0.9607464671134949,0.9936010241508484,0.8220973610877991,0.013875286094844341,0.9625322818756104,0.9588159322738647
21,0.964124858379364,0.9927797913551331,0.9624093174934387,0.013867267407476902,0.001,0.9586645364761353,0.9700772166252136,0.9678249955177307,0.9943829774856567,0.8376266956329346,0.01305832713842392,0.9672236442565918,0.9684684872627258
22,0.9665379524230957,0.9930875301361084,0.9649226665496826,0.013331111520528793,0.001,0.9607563018798828,0.9728121161460876,0.9646074771881104,0.9909683465957642,0.8317720890045166,0.015617815777659416,0.9640102982521057,0.9652509689331055
23,0.9716859459877014,0.9952718019485474,0.9713025093078613,0.011141081340610981,0.001,0.9688199758529663,0.974742591381073,0.9591377377510071,0.9917917251586914,0.8113563060760498,0.01672002673149109,0.9407041668891907,0.9800514578819275
24,0.9717664122581482,0.9944952726364136,0.9712461829185486,0.011869128793478012,0.001,0.9673306941986084,0.9765122532844543,0.9694337248802185,0.992317795753479,0.83596271276474,0.014792860485613346,0.9579409956932068,0.9819819927215576
25,0.9727316498756409,0.9952260255813599,0.9716980457305908,0.01109558716416359,0.001,0.9694839715957642,0.976190447807312,0.9607464671134949,0.9921719431877136,0.8498311638832092,0.016795242205262184,0.9773333072662354,0.9433719515800476
26,0.978844940662384,0.9968885183334351,0.9785106778144836,0.008722666651010513,0.001,0.9761638045310974,0.9816602468490601,0.9742599725723267,0.9949491024017334,0.861701488494873,0.012446064502000809,0.9676395654678345,0.9813385009765625
27,0.9780405163764954,0.9962016940116882,0.9771024584770203,0.009435540996491909,0.001,0.9733949303627014,0.9829472303390503,0.9720077514648438,0.9941019415855408,0.8562608957290649,0.012419161386787891,0.9657142758369446,0.9787644743919373
28,0.9735360145568848,0.9961875677108765,0.9725033640861511,0.010253083892166615,0.001,0.9707340598106384,0.9765122532844543,0.9382239580154419,0.9901408553123474,0.7727526426315308,0.021764902397990227,0.8950116038322449,0.9929214715957642
29,0.9731338620185852,0.9956037402153015,0.9726443886756897,0.0108466986566782,0.001,0.9699584245681763,0.9765122532844543,0.9736164808273315,0.9961441159248352,0.8655674457550049,0.011135831475257874,0.970588207244873,0.9768339991569519
30,0.9804536700248718,0.9972273707389832,0.980096161365509,0.008156036958098412,0.001,0.9776107668876648,0.9834298491477966,0.9745817184448242,0.9959602952003479,0.8653839230537415,0.011790947057306767,0.9712460041046143,0.9781209826469421
31,0.9804536700248718,0.9966854453086853,0.9797145128250122,0.008766349405050278,0.001,0.9783757925033569,0.9826254844665527,0.9707207083702087,0.9953758716583252,0.8502477407455444,0.013002373278141022,0.9574733972549438,0.985199511051178
32,0.9791666865348816,0.9971172213554382,0.9783152341842651,0.008460476994514465,0.001,0.9774002432823181,0.9810167551040649,0.9729729890823364,0.9946807026863098,0.8627715706825256,0.013807004317641258,0.9741935729980469,0.9716859459877014
33,0.9736164808273315,0.9964880347251892,0.9732607007026672,0.00980383064597845,0.001,0.9704378247261047,0.9769948720932007,0.9697554707527161,0.9929848909378052,0.8484974503517151,0.013832718133926392,0.9734111428260803,0.9658944606781006
34,0.9799710512161255,0.9970990419387817,0.9790276885032654,0.008367614820599556,0.001,0.9783549904823303,0.9816602468490601,0.9742599725723267,0.9948350787162781,0.8582943677902222,0.013131198473274708,0.9629396796226501,0.9864864945411682
35,0.97611004114151,0.9958916902542114,0.9756824970245361,0.0101008340716362,0.001,0.9734442234039307,0.978925347328186,0.9723294973373413,0.9948359727859497,0.8531662821769714,0.012752482667565346,0.9616352319717407,0.983912467956543
36,0.9834298491477966,0.9980086088180542,0.9829446077346802,0.006938362959772348,0.001,0.9804924726486206,0.9864864945411682,0.9752252101898193,0.9966779947280884,0.8653604388237,0.01189956720918417,0.9700827598571777,0.9806950092315674
37,0.9862451553344727,0.9982840418815613,0.9857564568519592,0.0061031524091959,0.001,0.9856982231140137,0.9868082404136658,0.9736164808273315,0.9966774582862854,0.8558139204978943,0.011601979844272137,0.9711908102035522,0.976190447807312
38,0.9840733408927917,0.998314380645752,0.9836190938949585,0.006403529550880194,0.001,0.982366144657135,0.9858430027961731,0.9597812294960022,0.993303120136261,0.8089404106140137,0.02058851532638073,0.9317220449447632,0.992277979850769
39,0.9831885695457458,0.9982795715332031,0.9825285077095032,0.006890568882226944,0.001,0.98357754945755,0.9827863574028015,0.9723294973373413,0.996646523475647,0.8481681942939758,0.01252209022641182,0.9530864357948303,0.993565022945404
40,0.9913932085037231,0.9993004202842712,0.9908492565155029,0.0038220526184886694,0.0005,0.9903676509857178,0.9924388527870178,0.9823037385940552,0.9959315061569214,0.8820390701293945,0.012845063582062721,0.9770846366882324,0.9877734780311584
41,0.9942889213562012,0.9996526837348938,0.9939830899238586,0.00257740612141788,0.0005,0.9940505027770996,0.9945302605628967,0.9806950092315674,0.9974490404129028,0.8764275312423706,0.013814914040267467,0.9704030156135559,0.9916344881057739
42,0.9946106672286987,0.9996528625488281,0.9941819906234741,0.002445187419652939,0.0005,0.9938955903053284,0.9953346252441406,0.9784427285194397,0.9956932067871094,0.8621898293495178,0.0170292928814888,0.966729462146759,0.9909909963607788
43,0.9946911334991455,0.9997895956039429,0.9946464896202087,0.0021641117054969072,0.0005,0.9943729639053345,0.9950128793716431,0.9771557450294495,0.9958464503288269,0.8665930032730103,0.01671702414751053,0.9619937539100647,0.993565022945404
44,0.992197573184967,0.999681293964386,0.9918229579925537,0.003005408216267824,0.0005,0.9918019771575928,0.9925997257232666,0.9790862202644348,0.9969372153282166,0.8735325336456299,0.012356816790997982,0.9745060801506042,0.983912467956543
45,0.9950932860374451,0.9996919631958008,0.9946740865707397,0.0023758995812386274,0.0005,0.9950136542320251,0.9951737523078918,0.9758687019348145,0.997340977191925,0.8567357063293457,0.0136117460206151,0.9648020267486572,0.9877734780311584
46,0.9945302605628967,0.999777615070343,0.9941507577896118,0.002241529757156968,0.0005,0.9945302605628967,0.9945302605628967,0.9771557450294495,0.99604731798172,0.8750592470169067,0.016671836376190186,0.9684144258499146,0.9864864945411682
47,0.9945302605628967,0.9996957182884216,0.9943758845329285,0.002408029977232218,0.0005,0.9948486685752869,0.9942085146903992,0.9729729890823364,0.9962786436080933,0.8485704660415649,0.017354268580675125,0.9593750238418579,0.9877734780311584
48,0.993645429611206,0.9996286630630493,0.9932981133460999,0.002899615792557597,0.0005,0.9924570918083191,0.9948520064353943,0.9742599725723267,0.9967071413993835,0.8544650673866272,0.01706746034324169,0.9600499272346497,0.9897040128707886
