epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.9773414134979248,0.5044686198234558,0.1319550722837448,0.0005,0.8060606122016907,0.653374195098877,1.4372273683547974
1,0.9833837151527405,0.4508448541164398,0.1008065789937973,0.0005,0.8848484754562378,0.407975435256958,0.6223043203353882
2,0.9833837151527405,0.6212819218635559,0.08413927257061005,0.0005,0.9878787994384766,0.46932515501976013,0.07509049028158188
3,0.981873095035553,0.6238653659820557,0.09246852248907089,0.0005,0.8848484754562378,0.32055217027664185,0.6406644582748413
4,0.9833837151527405,0.817134439945221,0.0761859118938446,0.0005,0.9212121367454529,0.4938650131225586,1.2618657350540161
5,0.981873095035553,0.8452730178833008,0.0738644078373909,0.0005,0.8181818127632141,0.47239264845848083,2.306725025177002
6,0.9879153966903687,0.9482613801956177,0.04640307277441025,0.0005,0.7878788113594055,0.38036808371543884,5.012029647827148
7,0.981873095035553,0.9025275707244873,0.0641402080655098,0.0005,0.9272727370262146,0.39570552110671997,0.3220956325531006
8,0.9803625345230103,0.7988409996032715,0.08123287558555603,0.0005,0.9696969985961914,0.4601227045059204,0.10161925852298737
9,0.9848942756652832,0.8780896663665771,0.057195454835891724,0.0005,0.8666666746139526,0.33435583114624023,2.945297956466675
10,0.9879153966903687,0.9268258213996887,0.042163316160440445,0.0005,0.9090909361839294,0.42331287264823914,1.5189149379730225
11,0.9939576983451843,0.9887586236000061,0.029881676658988,5.0000002e-05,0.9090909361839294,0.4171779155731201,1.1805039644241333
12,0.9924471378326416,0.9954615831375122,0.026943080127239227,5.0000002e-05,0.9151515364646912,0.4141104221343994,1.2403144836425781
13,0.9939576983451843,0.9979750514030457,0.021315446123480797,5.0000002e-05,0.9151515364646912,0.4141104221343994,1.241970419883728
14,0.9924471378326416,0.991900622844696,0.022611120715737343,5.0000002e-05,0.9090909361839294,0.4110429286956787,1.37650465965271
15,0.9939576983451843,0.9995811581611633,0.016438614577054977,5.0000002e-05,0.903030276298523,0.4079754650592804,1.412413239479065
16,0.9939576983451843,0.997556209564209,0.017875324934720993,5.0000002e-05,0.903030276298523,0.4141104221343994,1.34678316116333
17,0.995468258857727,0.9971373081207275,0.01505843922495842,5.0000002e-05,0.9090909361839294,0.4171779155731201,1.362435221672058
