epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.5528700947761536,0.6020109057426453,0.3268880546092987,0.0005,0.9818181991577148,0.5889570713043213,0.10337428748607635
1,0.6450151205062866,0.583926796913147,0.2127145230770111,0.0005,0.9757575988769531,0.5736196041107178,0.07264089584350586
2,0.7492446899414062,0.6507470607757568,0.1553342044353485,0.0005,0.9878787994384766,0.43865031003952026,0.04551263153553009
3,0.787009060382843,0.7710515260696411,0.14999911189079285,0.0005,0.9878787994384766,0.47239264845848083,0.024556035175919533
4,0.8459214568138123,0.6396453380584717,0.10815387964248657,0.0005,0.9878787994384766,0.7223926186561584,0.018658887594938278
5,0.8821752071380615,0.6751850247383118,0.08416301757097244,0.0005,0.9878787994384766,0.6748466491699219,0.05399217829108238
6,0.8746223449707031,0.7209188342094421,0.07712060213088989,0.0005,0.9878787994384766,0.6549079418182373,0.021648269146680832
7,0.9063444137573242,0.5633990168571472,0.0782105103135109,0.0005,0.9818181991577148,0.8450920581817627,0.030451880767941475
8,0.9154078364372253,0.6324535012245178,0.06887950748205185,0.0005,0.9757575988769531,0.7791410684585571,0.03280455991625786
9,0.9471299052238464,0.7163106203079224,0.05154971033334732,0.0005,0.9818181991577148,0.6441717743873596,0.013049465604126453
10,0.9486404657363892,0.7699342966079712,0.03922070562839508,0.0005,0.9878787994384766,0.6687116622924805,0.019405793398618698
11,0.9546827673912048,0.6918028593063354,0.047505613416433334,0.0005,0.9878787994384766,0.6395705342292786,0.010790088213980198
12,0.9622356295585632,0.7850160002708435,0.03539271280169487,0.0005,0.9878787994384766,0.6395705342292786,0.01193633396178484
13,0.9697884917259216,0.8238374590873718,0.03082694672048092,0.0005,0.9878787994384766,0.5705521106719971,0.00933642964810133
14,0.9652568101882935,0.8166456818580627,0.03126577287912369,0.0005,0.9878787994384766,0.64570552110672,0.00858327653259039
15,0.9788519740104675,0.924102783203125,0.022878536954522133,0.0005,0.9878787994384766,0.4110429286956787,0.010252292267978191
16,0.9743202328681946,0.8421310186386108,0.023860350251197815,0.0005,0.9878787994384766,0.4739263653755188,0.008363410830497742
17,0.9833837151527405,0.8223711848258972,0.022348271682858467,0.0005,0.9878787994384766,0.6671779155731201,0.007780341897159815
18,0.9773414134979248,0.7857142686843872,0.025729257613420486,0.0005,0.9878787994384766,0.6702454090118408,0.008218638598918915
19,0.9833837151527405,0.8571428656578064,0.022173207253217697,0.0005,0.9878787994384766,0.611963152885437,0.007880141958594322
20,0.9833837151527405,0.777195930480957,0.021429775282740593,0.0005,0.9878787994384766,0.6411042809486389,0.007778048515319824
21,0.9848942756652832,0.926406979560852,0.014970197342336178,0.0005,0.9878787994384766,0.6303681135177612,0.008004003204405308
22,0.9848942756652832,0.8736209869384766,0.01554741058498621,0.0005,0.9878787994384766,0.6487730145454407,0.008334869518876076
23,0.9803625345230103,0.953428328037262,0.01573050767183304,0.000100000005,0.9878787994384766,0.6426380276679993,0.008072893135249615
24,0.9864048361778259,0.8869571685791016,0.016842901706695557,0.000100000005,0.9878787994384766,0.6717790961265564,0.007961508817970753
25,0.9864048361778259,0.889331042766571,0.017777346074581146,0.000100000005,0.9878787994384766,0.6395705342292786,0.00802756380289793
26,0.981873095035553,0.9493785500526428,0.014752077870070934,0.000100000005,0.9878787994384766,0.638036847114563,0.008172009140253067
27,0.9864048361778259,0.9548248052597046,0.01572105847299099,0.000100000005,0.9878787994384766,0.6119632124900818,0.008279460482299328
