epoch,accuracy,auc_1,f1_score,loss,lr,precision_1,recall_1,val_accuracy,val_auc_1,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.627815306186676,0.6753628849983215,0.6191162467002869,0.19454795122146606,0.005,0.6337317228317261,0.6056950092315674,0.6431788802146912,0.8031996488571167,0.5672682523727417,0.15601298213005066,0.5940803289413452,0.9041184186935425
1,0.7266731262207031,0.7948998808860779,0.7161806225776672,0.1443530023097992,0.005,0.7437716126441956,0.6916022896766663,0.5524452924728394,0.7567003965377808,0.5728423595428467,0.15207713842391968,0.5289932489395142,0.9568854570388794
2,0.7787162065505981,0.849018931388855,0.7675864696502686,0.12428126484155655,0.005,0.8057172894477844,0.7345559597015381,0.5421493053436279,0.7615302205085754,0.5778523087501526,0.15628941357135773,0.5224699974060059,0.9800514578819275
3,0.79777991771698,0.8701494336128235,0.7913024425506592,0.1098252683877945,0.005,0.8159781694412231,0.7689832448959351,0.526705265045166,0.7770843505859375,0.5797515511512756,0.1495329737663269,0.5138379335403442,0.9916344881057739
4,0.8137065768241882,0.8894018530845642,0.8115975260734558,0.09673943370580673,0.005,0.820407509803772,0.8032496571540833,0.506434977054596,0.6665233373641968,0.5799084901809692,0.164186492562294,0.503238320350647,1.0
5,0.8368725776672363,0.9138177633285522,0.8353315591812134,0.08403942734003067,0.005,0.8398247361183167,0.8325289487838745,0.5900900959968567,0.7814489006996155,0.5884628295898438,0.16179044544696808,0.5506512522697449,0.9794079661369324
6,0.8581885695457458,0.9354192018508911,0.8588838577270508,0.07248543202877045,0.005,0.8529085516929626,0.8656692504882812,0.5479407906532288,0.7487912178039551,0.5841590166091919,0.24847790598869324,0.5253832936286926,0.992277979850769
7,0.8793436288833618,0.948474645614624,0.8797010183334351,0.06430123746395111,0.005,0.8766773343086243,0.8828828930854797,0.5572715401649475,0.6827670335769653,0.5868712663650513,0.2998144030570984,0.5304794311523438,0.9967824816703796
8,0.8885939717292786,0.954590916633606,0.8895210027694702,0.058497071266174316,0.005,0.8800944089889526,0.8997747898101807,0.7184684872627258,0.9019365310668945,0.6294896006584167,0.17528796195983887,0.6413994431495667,0.9909909963607788
9,0.8838481307029724,0.9552754759788513,0.8850709795951843,0.05518307536840439,0.005,0.874921441078186,0.8957529067993164,0.7139639854431152,0.9019241333007812,0.6277408003807068,0.16428086161613464,0.6374534964561462,0.992277979850769
10,0.8862612843513489,0.9574421048164368,0.8874659538269043,0.05237860977649689,0.005,0.8745709657669067,0.9018661379814148,0.699485182762146,0.8681703805923462,0.4688935875892639,0.08454427868127823,0.8596287965774536,0.4768339693546295
11,0.877815306186676,0.9493737816810608,0.8784035444259644,0.05515553429722786,0.005,0.8734297752380371,0.8836872577667236,0.7915058135986328,0.8732141256332397,0.6139929890632629,0.07595159113407135,0.7712574601173401,0.8288288116455078
