epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.5498489141464233,0.5063538551330566,0.9079699516296387,0.001,0.9878787994384766,0.34049078822135925,0.5146313309669495
1,0.6797583103179932,0.6076664924621582,0.6570577621459961,0.001,0.9878787994384766,0.3742331266403198,0.38659754395484924
2,0.791540801525116,0.6375506520271301,0.5050764679908752,0.001,0.9878787994384766,0.4693251848220825,0.33805108070373535
3,0.8459214568138123,0.8711771965026855,0.42928075790405273,0.001,0.9818181991577148,0.4877300560474396,0.3302048444747925
4,0.9063444137573242,0.7795000672340393,0.33453115820884705,0.001,0.9878787994384766,0.36656442284584045,0.1941661685705185
5,0.9244713187217712,0.8424102067947388,0.27103111147880554,0.001,0.9878787994384766,0.3389570415019989,0.178975909948349
6,0.9425981640815735,0.8178327083587646,0.22137898206710815,0.001,0.9878787994384766,0.3680981397628784,0.157127246260643
7,0.9637462496757507,0.8975701928138733,0.19687150418758392,0.001,0.9878787994384766,0.35429447889328003,0.11702201515436172
8,0.9712991118431091,0.9560117721557617,0.1417115181684494,0.001,0.9878787994384766,0.4631901979446411,0.09852629899978638
9,0.9712991118431091,0.9622259140014648,0.13081274926662445,0.001,0.9878787994384766,0.5138036608695984,0.0977293998003006
10,0.9833837151527405,0.9458175897598267,0.10356374084949493,0.001,0.9878787994384766,0.3880368173122406,0.09134325385093689
11,0.9864048361778259,0.9843598008155823,0.08852852880954742,0.001,0.9878787994384766,0.5015337467193604,0.08877698332071304
12,0.9864048361778259,0.9865242838859558,0.08015496283769608,0.001,0.9878787994384766,0.32822084426879883,0.08462526649236679
13,0.9894259572029114,0.9812176823616028,0.06725958734750748,0.001,0.9878787994384766,0.45858895778656006,0.07624794542789459
14,0.9894259572029114,0.9942046403884888,0.05335451290011406,0.001,0.9878787994384766,0.4371165633201599,0.07525445520877838
15,0.995468258857727,0.997556209564209,0.04741302877664566,0.001,0.9878787994384766,0.4233129024505615,0.08591815084218979
16,0.9939576983451843,0.9960899353027344,0.03874382749199867,0.001,0.9878787994384766,0.349693238735199,0.07102086395025253
17,0.9939576983451843,0.9985337257385254,0.035048846155405045,0.001,0.9878787994384766,0.36963191628456116,0.07638277858495712
18,0.9969788789749146,0.9987431764602661,0.03132453188300133,0.001,0.9878787994384766,0.6748466491699219,0.067176952958107
19,0.995468258857727,0.9995810985565186,0.02701699174940586,0.001,0.9878787994384766,0.3680981695652008,0.07561984658241272
20,0.9969788789749146,0.9997206926345825,0.024270074442029,0.001,0.9878787994384766,0.4371165633201599,0.08311881124973297
21,0.995468258857727,0.9981845617294312,0.028086092323064804,0.001,0.9878787994384766,0.36963191628456116,0.09128639101982117
22,0.995468258857727,0.9999998807907104,0.025088278576731682,0.001,0.9878787994384766,0.3558282256126404,0.08448916673660278
23,0.9939576983451843,0.998114824295044,0.02417510747909546,0.001,0.9878787994384766,0.37269940972328186,0.07552885264158249
24,0.9939576983451843,0.9981148838996887,0.026598362252116203,0.000100000005,0.9878787994384766,0.4601227343082428,0.07554756104946136
25,1.0,1.0000001192092896,0.01524696871638298,0.000100000005,0.9878787994384766,0.3190184235572815,0.07772735506296158
26,1.0,0.9999999403953552,0.013361021876335144,0.000100000005,0.9878787994384766,0.3680981397628784,0.0776933953166008
27,1.0,0.9999998807907104,0.013879518024623394,0.000100000005,0.9878787994384766,0.38343557715415955,0.07812833786010742
28,0.9969788789749146,0.9997207522392273,0.017625996842980385,0.000100000005,0.9878787994384766,0.3742331266403198,0.08007130771875381
