,loss,accuracy,auc,val_loss,val_accuracy,val_auc
mean,0.03447270765900612,0.9948603987693787,0.9977416396141052,0.09141392558813095,0.9830741286277771,0.5108768701553345
std,0.012926441953826492,0.003395875303502927,0.0020920556327907545,0.025347127825350785,0.004504385679638589,0.14368481145398015
