epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.5552193522453308,0.4766433537006378,0.2690339684486389,0.0005,0.6626505851745605,0.6204268336296082,0.19630403816699982
1,0.6838123798370361,0.6492307782173157,0.1794680505990982,0.0005,0.9397590160369873,0.3932926654815674,0.15757447481155396
2,0.7367624640464783,0.6232168078422546,0.165640726685524,0.0005,0.9397590160369873,0.522865891456604,0.18692182004451752
3,0.827534019947052,0.734755277633667,0.1316167116165161,0.0005,0.9638554453849792,0.5792683362960815,0.16496147215366364
4,0.8986384272575378,0.8220279812812805,0.08538845926523209,0.0005,0.9819276928901672,0.5899389982223511,0.10473866015672684
5,0.9334341883659363,0.7302097082138062,0.06138717755675316,0.0005,0.9638554453849792,0.5884146690368652,0.10499583929777145
6,0.9304084777832031,0.8421677350997925,0.06028205528855324,0.0005,0.9638554453849792,0.6128048896789551,0.09649035334587097
7,0.9531013369560242,0.7446153163909912,0.05420886352658272,0.0005,0.9578313231468201,0.5838414430618286,0.06165445223450661
8,0.9621785283088684,0.9104894399642944,0.045054931193590164,0.0005,0.9638554453849792,0.6432926654815674,0.04664335399866104
9,0.9697428345680237,0.9070630073547363,0.03825308755040169,0.0005,0.9698795080184937,0.9359756112098694,0.04784410446882248
10,0.9621785283088684,0.712447464466095,0.03588232770562172,0.0005,0.9397590160369873,0.7576219439506531,0.10575887560844421
11,0.974281370639801,0.7576923370361328,0.029067037627100945,0.0005,0.9638554453849792,0.7057926654815674,0.03885786980390549
12,0.97579425573349,0.8267832398414612,0.024030912667512894,0.0005,0.9759036302566528,0.6737805008888245,0.018571894615888596
13,0.9803328514099121,0.8336362838745117,0.02534409612417221,0.0005,0.9638554453849792,0.6387194991111755,0.030989868566393852
14,0.9788199663162231,0.8511188626289368,0.023035060614347458,0.0005,0.9638554453849792,0.5701219439506531,0.03105526976287365
15,0.9863842725753784,0.8859440088272095,0.01670220121741295,0.0005,0.9638554453849792,0.6600609421730042,0.026197947561740875
16,0.9848713874816895,0.8866434097290039,0.022573448717594147,0.0005,0.9759036302566528,0.7682926654815674,0.031075894832611084
17,0.9833585619926453,0.8820978999137878,0.020510034635663033,0.0005,0.9638554453849792,0.6219512224197388,0.042488276958465576
18,0.9863842725753784,0.9690909385681152,0.011785203590989113,0.000100000005,0.9698795080184937,0.6920732259750366,0.03478120639920235
19,0.9833585619926453,0.9457342624664307,0.014628397300839424,0.000100000005,0.9698795080184937,0.6737804412841797,0.035828717052936554
20,0.9878970980644226,0.9795804619789124,0.013049451634287834,0.000100000005,0.9638554453849792,0.6371951103210449,0.0370367169380188
21,0.9894099831581116,0.9900000095367432,0.01112914178520441,0.000100000005,0.9638554453849792,0.6387194991111755,0.03625846654176712
22,0.9863842725753784,0.9890209436416626,0.011374046094715595,0.000100000005,0.9638554453849792,0.6326219439506531,0.03261769935488701
