epoch,accuracy,auc_1,f1_score,loss,lr,precision_1,recall_1,val_accuracy,val_auc_1,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.7346364259719849,0.8054470419883728,0.7297216653823853,0.0827813595533371,0.0005,0.7374247312545776,0.7287644743919373,0.6261261105537415,0.8001276850700378,0.3429501950740814,0.0957544595003128,0.8525179624557495,0.3050193190574646
1,0.791344940662384,0.8630926012992859,0.7867341637611389,0.06763414293527603,0.0005,0.7977638840675354,0.7805662751197815,0.8426640629768372,0.9241506457328796,0.5951047539710999,0.04935150966048241,0.8752642869949341,0.799227774143219
2,0.8340572714805603,0.9099875688552856,0.8308310508728027,0.053003568202257156,0.0005,0.8361664414405823,0.8309202194213867,0.7866795659065247,0.9465509057044983,0.48935988545417786,0.06750395148992538,0.9513677954673767,0.6042470932006836
3,0.8634169697761536,0.936633825302124,0.8614913821220398,0.04369098320603371,0.0005,0.8623676896095276,0.8648648858070374,0.7953668236732483,0.9599963426589966,0.4956769049167633,0.06607020646333694,0.9617705941200256,0.6151866316795349
4,0.8755630850791931,0.945417582988739,0.8739773035049438,0.040077704936265945,0.0005,0.8722691535949707,0.8799871206283569,0.876447856426239,0.9655598998069763,0.6536903977394104,0.0378100723028183,0.9385307431221008,0.8056628108024597
5,0.8893178701400757,0.9549345970153809,0.8874781727790833,0.03621438145637512,0.0005,0.8876962661743164,0.8914092779159546,0.9111968874931335,0.9721851944923401,0.7084309458732605,0.02907179296016693,0.9096153974533081,0.9131274223327637
6,0.9001769423484802,0.9604234099388123,0.8976507186889648,0.03391881287097931,0.0005,0.8955318927764893,0.9060488939285278,0.8989704251289368,0.9706581830978394,0.6839418411254883,0.03573261573910713,0.8571428656578064,0.9575289487838745
7,0.9043596982955933,0.9653909206390381,0.9025013446807861,0.03167528659105301,0.0005,0.9013252258300781,0.9081403017044067,0.9009009003639221,0.9744831919670105,0.6892606019973755,0.035415831953287125,0.8511837720870972,0.9716859459877014
8,0.9097490310668945,0.9679930806159973,0.9075215458869934,0.030419135466217995,0.0005,0.9044141173362732,0.916344940662384,0.8532818555831909,0.9709231853485107,0.6721692681312561,0.05469674617052078,0.9629005193710327,0.7348777055740356
9,0.9128860831260681,0.9699221849441528,0.9112301468849182,0.029487356543540955,0.0005,0.9117599725723267,0.9142535328865051,0.9282496571540833,0.9779039621353149,0.7333590388298035,0.02609112672507763,0.920936107635498,0.9369369149208069
10,0.9139317870140076,0.9733261466026306,0.9125629663467407,0.02775220200419426,0.0005,0.9115483164787292,0.9168275594711304,0.896074652671814,0.9751127362251282,0.7085589170455933,0.03523850068449974,0.946986198425293,0.839124858379364
11,0.9218146800994873,0.9756546020507812,0.9211152791976929,0.026616673916578293,0.0005,0.9172501564025879,0.9272844195365906,0.926962673664093,0.9788418412208557,0.7315874099731445,0.03130513057112694,0.8905238509178162,0.9736164808273315
12,0.9208494424819946,0.9764074683189392,0.9196720719337463,0.026143129914999008,0.0005,0.9189621806144714,0.9231016635894775,0.8947876691818237,0.9787858724594116,0.7289947271347046,0.03663785755634308,0.9665399193763733,0.8178893327713013
13,0.926882266998291,0.9784629344940186,0.9254075288772583,0.025026144459843636,0.0005,0.924627959728241,0.9295367002487183,0.9237451553344727,0.9829375147819519,0.7405537366867065,0.02524091862142086,0.9482641220092773,0.8963963985443115
14,0.9268018007278442,0.978923499584198,0.9250956773757935,0.024767493829131126,0.0005,0.9229910969734192,0.9313063025474548,0.9327541589736938,0.9827764630317688,0.7793099284172058,0.024081451818346977,0.9565512537956238,0.906692385673523
15,0.9287322759628296,0.9791569709777832,0.92741459608078,0.024596717208623886,0.0005,0.9255828857421875,0.9324324131011963,0.8967181444168091,0.9773818850517273,0.7004801630973816,0.03278278931975365,0.9529757499694824,0.8346203565597534
16,0.9320302605628967,0.9815070033073425,0.9304670691490173,0.02314087748527527,0.0005,0.928925096988678,0.9356499314308167,0.9144144058227539,0.9842828512191772,0.7294482588768005,0.02845478430390358,0.9646464586257935,0.8603603839874268
17,0.9357303977012634,0.9839409589767456,0.9351240396499634,0.021572522819042206,0.0005,0.9337069392204285,0.9380630850791931,0.8243243098258972,0.982229471206665,0.5747730731964111,0.06272968649864197,0.9818355441093445,0.660875141620636
18,0.9374195337295532,0.9834713935852051,0.9361297488212585,0.021912500262260437,0.0005,0.9326862096786499,0.9428893327713013,0.9160231947898865,0.980320155620575,0.7411504983901978,0.034358952194452286,0.9530483484268188,0.8751608729362488
19,0.9384652376174927,0.9837339520454407,0.9373630285263062,0.021724175661802292,0.0005,0.9378313422203064,0.9391891956329346,0.9279279112815857,0.9820294380187988,0.7331675291061401,0.029548117890954018,0.8996394276618958,0.9633204340934753
20,0.9392696022987366,0.9842348694801331,0.9385260939598083,0.021336976438760757,0.0005,0.9368101358413696,0.9420849680900574,0.8629343509674072,0.9851065874099731,0.6613181233406067,0.049147915095090866,0.9795918464660645,0.7413127422332764
21,0.943130612373352,0.9859951138496399,0.9420192837715149,0.020104579627513885,0.0005,0.9388242959976196,0.948037326335907,0.9353281855583191,0.9847493171691895,0.746894121170044,0.027143144980072975,0.8981754183769226,0.9819819927215576
22,0.9451415538787842,0.9873092174530029,0.9440423846244812,0.019062649458646774,0.0005,0.9420127868652344,0.9486808180809021,0.931145429611206,0.9868194460868835,0.7516051530838013,0.027706028893589973,0.9620689749717712,0.8976833820343018
23,0.9454632997512817,0.9883643984794617,0.944473922252655,0.01837318204343319,0.0005,0.9430400133132935,0.9481981992721558,0.9288932085037231,0.9870609045028687,0.7615959644317627,0.026979267597198486,0.967719316482544,0.8873873949050903
24,0.9449002742767334,0.9879226088523865,0.9441118836402893,0.01865583471953869,0.0005,0.9422677159309387,0.9478764533996582,0.946589469909668,0.9856202006340027,0.7733708620071411,0.02448698692023754,0.9273399114608765,0.969111979007721
25,0.9587355256080627,0.9922418594360352,0.9580404758453369,0.015012769028544426,0.00025,0.9563130140304565,0.96138995885849,0.9462677240371704,0.9904919862747192,0.7951576709747314,0.019148165360093117,0.9663752317428589,0.9247104525566101
26,0.9605855941772461,0.9926385879516602,0.9598296880722046,0.014421919360756874,0.00025,0.9585201740264893,0.962837815284729,0.9568854570388794,0.9905501008033752,0.8067874312400818,0.01741049252450466,0.9586563110351562,0.954954981803894
27,0.9615508317947388,0.993583619594574,0.9607518315315247,0.013571049086749554,0.00025,0.9594811201095581,0.9638031125068665,0.9520592093467712,0.989801824092865,0.8080471754074097,0.01805717870593071,0.9618672132492065,0.9414414167404175
28,0.9590572714805603,0.9932529330253601,0.9582065939903259,0.013807076029479504,0.00025,0.9566330909729004,0.9617117047309875,0.9169884324073792,0.9898721575737,0.7543306946754456,0.029785433784127235,0.9778761267662048,0.8532818555831909
29,0.9634813666343689,0.9941452145576477,0.9627436995506287,0.012869235128164291,0.00025,0.9603707194328308,0.9668596982955933,0.9539896845817566,0.9912216067314148,0.8231313228607178,0.019580770283937454,0.9687707424163818,0.9382239580154419
30,0.9638835191726685,0.9940668940544128,0.9633123874664307,0.013000888749957085,0.00025,0.9611386656761169,0.9668596982955933,0.9591377377510071,0.990787923336029,0.7988657355308533,0.021431921049952507,0.9305974841117859,0.992277979850769
31,0.9629182815551758,0.9944047331809998,0.9616555571556091,0.01265188679099083,0.00025,0.9594443440437317,0.9666988253593445,0.9617117047309875,0.9903160333633423,0.8092206120491028,0.019104955717921257,0.9475982785224915,0.977477490901947
32,0.9679054021835327,0.99550861120224,0.9676278829574585,0.011312059126794338,0.00025,0.9648393988609314,0.9712033271789551,0.9617117047309875,0.9910719394683838,0.7993971109390259,0.026048459112644196,0.9335347414016724,0.9942085146903992
33,0.9636422395706177,0.9945765137672424,0.9626660943031311,0.012385723181068897,0.00025,0.9606777429580688,0.9668596982955933,0.9343629479408264,0.9897162318229675,0.7851252555847168,0.025315772742033005,0.9753521084785461,0.8912484049797058
34,0.9632400274276733,0.9945233464241028,0.962354302406311,0.012577477842569351,0.00025,0.9603517055511475,0.9663770794868469,0.949485182762146,0.991811215877533,0.7985668778419495,0.018891803920269012,0.9710047245025635,0.9266409277915955
35,0.9677445292472839,0.995234489440918,0.9665536880493164,0.011631938628852367,0.00025,0.965274453163147,0.9703989624977112,0.9649292230606079,0.9917841553688049,0.8205034136772156,0.01901993900537491,0.9518449306488037,0.9794079661369324
36,0.968307614326477,0.9956971406936646,0.9680259227752686,0.011119071394205093,0.00025,0.9671052694320679,0.9695945978164673,0.9639639854431152,0.9931330680847168,0.8260337710380554,0.0167572982609272,0.9669688940048218,0.9607464671134949
37,0.9722490310668945,0.9965547323226929,0.9717628359794617,0.009971287101507187,0.00025,0.9703572988510132,0.9742599725723267,0.965572714805603,0.9918612241744995,0.834120512008667,0.01715019904077053,0.9695003032684326,0.96138995885849
38,0.9700772166252136,0.996017575263977,0.9686070084571838,0.010679087601602077,0.00025,0.9663261771202087,0.9740990996360779,0.9639639854431152,0.9913012385368347,0.806211531162262,0.019591527059674263,0.947826087474823,0.9819819927215576
39,0.9709620475769043,0.9962082505226135,0.9701246023178101,0.010433807969093323,0.00025,0.9695268869400024,0.9724903702735901,0.9681467413902283,0.9914942979812622,0.8466202616691589,0.018701903522014618,0.969657838344574,0.9665379524230957
40,0.9699968099594116,0.9960428476333618,0.9689924120903015,0.010658684186637402,0.00025,0.9676644802093506,0.9724903702735901,0.9668596982955933,0.992792010307312,0.8476053476333618,0.015140119008719921,0.9683666825294495,0.9652509689331055
41,0.9713642001152039,0.9960174560546875,0.9702860116958618,0.01055886596441269,0.00025,0.9695512652397156,0.973294734954834,0.9633204340934753,0.990795373916626,0.8282882571220398,0.0192329753190279,0.9639175534248352,0.9626769423484802
42,0.9741795659065247,0.9970954656600952,0.9731754660606384,0.009143097326159477,0.00025,0.9718264937400818,0.9766731262207031,0.9694337248802185,0.9918389916419983,0.838010311126709,0.01779090240597725,0.96317458152771,0.976190447807312
43,0.9750643372535706,0.9968196153640747,0.97395259141922,0.009468594565987587,0.00025,0.9723288416862488,0.9779601097106934,0.9633204340934753,0.9912384152412415,0.8161264657974243,0.01803111471235752,0.9645161032676697,0.9620334506034851
44,0.9720881581306458,0.9966625571250916,0.9710184335708618,0.009681283496320248,0.00025,0.9698958992958069,0.9744208455085754,0.9681467413902283,0.9938115477561951,0.8169108629226685,0.016115644946694374,0.9613189697265625,0.9755469560623169
45,0.9763513803482056,0.9972196221351624,0.9758979678153992,0.008890355937182903,0.00025,0.9752808809280396,0.977477490901947,0.9356499314308167,0.9925734996795654,0.7817421555519104,0.026187218725681305,0.9794617295265198,0.8899613618850708
46,0.9732142686843872,0.9965037107467651,0.9727342128753662,0.009929744526743889,0.00025,0.9708660244941711,0.9757078289985657,0.9668596982955933,0.9927658438682556,0.8271215558052063,0.01900661736726761,0.9537210464477539,0.9813385009765625
47,0.977477490901947,0.9974204301834106,0.9766772985458374,0.008605310693383217,0.00025,0.9759461283683777,0.9790862202644348,0.9713642001152039,0.9915773272514343,0.8401398062705994,0.017643798142671585,0.9575265645980835,0.9864864945411682
48,0.9739382266998291,0.9973544478416443,0.9730352759361267,0.008690666407346725,0.00025,0.9709079265594482,0.9771557450294495,0.965572714805603,0.9925086498260498,0.826300859451294,0.023688113316893578,0.9485430717468262,0.9845559597015381
49,0.9773970246315002,0.9976711273193359,0.9764372706413269,0.008120027370750904,0.00025,0.9757896661758423,0.9790862202644348,0.953667938709259,0.9924231767654419,0.81011962890625,0.019644828513264656,0.9737903475761414,0.9324324131011963
50,0.9755469560623169,0.9969592094421387,0.9748281240463257,0.009246322326362133,0.00025,0.9744783043861389,0.9766731262207031,0.9469112157821655,0.9925674796104431,0.7595192790031433,0.03762589022517204,0.9054290652275085,0.9980695247650146
51,0.9834298491477966,0.9985979795455933,0.9823222160339355,0.006443365011364222,0.000125,0.9818794131278992,0.9850386381149292,0.9716859459877014,0.9947095513343811,0.8415705561637878,0.014543510042130947,0.9686700701713562,0.9749034643173218
52,0.9842342138290405,0.9986778497695923,0.9834755659103394,0.005939197260886431,0.000125,0.9815999865531921,0.9869691133499146,0.9707207083702087,0.9945170879364014,0.8363284468650818,0.015569431707262993,0.9716312289237976,0.9697554707527161
53,0.9820623993873596,0.9985784888267517,0.9816836714744568,0.0062981643714010715,0.000125,0.9802852869033813,0.983912467956543,0.9700772166252136,0.9939446449279785,0.8295009136199951,0.01685970276594162,0.9632213115692139,0.977477490901947
54,0.9851190447807312,0.998979926109314,0.9846296310424805,0.005371212959289551,0.000125,0.9847291707992554,0.9855212569236755,0.973294734954834,0.9919772148132324,0.8379811644554138,0.023892158642411232,0.9588271975517273,0.9890604615211487
55,0.9845559597015381,0.9984126687049866,0.983012855052948,0.006477728020399809,0.000125,0.9814578294754028,0.9877734780311584,0.9675031900405884,0.993928074836731,0.8442410230636597,0.01772664487361908,0.9739073514938354,0.9607464671134949
56,0.9823841452598572,0.9987019896507263,0.9821469783782959,0.006042481865733862,0.000125,0.981996476650238,0.9827863574028015,0.9752252101898193,0.9944995641708374,0.8374283313751221,0.01663767360150814,0.9641734957695007,0.9871299862861633
57,0.985199511051178,0.999013364315033,0.9844516515731812,0.00526044424623251,0.000125,0.9830237030982971,0.9874517321586609,0.9729729890823364,0.9941819906234741,0.8353545665740967,0.017662912607192993,0.9681528806686401,0.9781209826469421
58,0.9846364259719849,0.9989460110664368,0.9840700626373291,0.005487422924488783,0.000125,0.9839357137680054,0.9853603839874268,0.9739382266998291,0.99310302734375,0.8365926742553711,0.02279588021337986,0.9594510197639465,0.9897040128707886
59,0.9843146800994873,0.9988721013069153,0.983234167098999,0.005656564142554998,0.000125,0.9833039045333862,0.9853603839874268,0.9749034643173218,0.9944421052932739,0.8458060622215271,0.016839763149619102,0.9694656729698181,0.9806950092315674
