epoch,accuracy,auc_1,f1_score,loss,lr,precision_1,recall_1,val_accuracy,val_auc_1,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.8199002742767334,0.9013354778289795,0.8183366060256958,0.05204549431800842,0.001,0.8255033493041992,0.8112934231758118,0.869369387626648,0.94673091173172,0.8683526515960693,0.0388636514544487,0.8751633763313293,0.861647367477417
1,0.8799871206283569,0.9492982029914856,0.8802182674407959,0.03804345056414604,0.001,0.8785256147384644,0.8819176554679871,0.9031531810760498,0.9637598991394043,0.9021773934364319,0.03285294398665428,0.9113591313362122,0.8931788802146912
2,0.9088642001152039,0.9679743647575378,0.9095119833946228,0.030325962230563164,0.001,0.9030928015708923,0.9160231947898865,0.9005791544914246,0.9691985249519348,0.8953605890274048,0.03427371755242348,0.9449607133865356,0.8507078289985657
3,0.9295367002487183,0.9793664813041687,0.9299871325492859,0.024311315268278122,0.001,0.9240787625312805,0.9359716773033142,0.9333977103233337,0.9847961664199829,0.9366778135299683,0.026151958853006363,0.892711341381073,0.985199511051178
4,0.9441763162612915,0.9858348369598389,0.9444354772567749,0.020188847556710243,0.001,0.9400701522827148,0.9488416910171509,0.9591377377510071,0.991568922996521,0.959515392780304,0.015712030231952667,0.9507264494895935,0.9684684872627258
5,0.9545527696609497,0.9900267720222473,0.9547818303108215,0.016895867884159088,0.001,0.9499920606613159,0.9596203565597534,0.9427284598350525,0.9884635210037231,0.9449937343597412,0.022327018901705742,0.9090368747711182,0.983912467956543
6,0.9593790173530579,0.9930761456489563,0.9595319628715515,0.01417903695255518,0.001,0.9559316635131836,0.9631595611572266,0.9633204340934753,0.993217408657074,0.9638094902038574,0.01357991248369217,0.951127827167511,0.9768339991569519
7,0.9639639854431152,0.9943078756332397,0.96409672498703,0.012700269930064678,0.001,0.9605557322502136,0.9676640629768372,0.9668596982955933,0.9946050643920898,0.9666773676872253,0.012586304917931557,0.9720234274864197,0.96138995885849
8,0.9700772166252136,0.9958339333534241,0.9701491594314575,0.010881745256483555,0.001,0.9678193926811218,0.9724903702735901,0.9723294973373413,0.995674729347229,0.9727329611778259,0.011318987235426903,0.9587500095367432,0.9871299862861633
9,0.9740186333656311,0.9964698553085327,0.974058210849762,0.009970133192837238,0.001,0.9725741744041443,0.9755469560623169,0.9739382266998291,0.9964796304702759,0.9745202660560608,0.012711106799542904,0.9532307982444763,0.9967824816703796
10,0.9766731262207031,0.9973019361495972,0.9767366647720337,0.00879408698529005,0.001,0.9740800261497498,0.9794079661369324,0.9787644743919373,0.9965387582778931,0.9791006445884705,0.011194431222975254,0.9638404250144958,0.9948520064353943
11,0.9832689762115479,0.9987968802452087,0.9832957983016968,0.006080904975533485,0.001,0.9817190766334534,0.9848777055740356,0.9816602468490601,0.9975053668022156,0.981666088104248,0.007344652898609638,0.9813504815101624,0.9819819927215576
12,0.9807754158973694,0.9979304671287537,0.9808385968208313,0.007515599951148033,0.001,0.9776250720024109,0.9840733408927917,0.9758687019348145,0.995862603187561,0.9761525392532349,0.011385468766093254,0.9648020267486572,0.9877734780311584
13,0.98527991771698,0.9987006187438965,0.985309362411499,0.006048656068742275,0.001,0.9833360314369202,0.9872908592224121,0.9784427285194397,0.997387707233429,0.9783381223678589,0.008394785225391388,0.9831058979034424,0.9736164808273315
14,0.9847972989082336,0.9985684156417847,0.9848204255104065,0.006267485208809376,0.001,0.9833199381828308,0.9863256216049194,0.9504504799842834,0.991117000579834,0.9498370885848999,0.01730089820921421,0.9617414474487305,0.9382239580154419
15,0.985199511051178,0.9987284541130066,0.9852113127708435,0.005846623331308365,0.001,0.9844201803207397,0.9860038757324219,0.9581724405288696,0.9934844374656677,0.9574607014656067,0.01465572603046894,0.9740346074104309,0.9414414167404175
16,0.9905887842178345,0.9994303584098816,0.9905986189842224,0.003919820301234722,0.001,0.9895649552345276,0.9916344881057739,0.9819819927215576,0.9967983961105347,0.9820627570152283,0.009367598220705986,0.9776785969734192,0.9864864945411682
17,0.9931628108024597,0.9997658729553223,0.9931654930114746,0.0026732897385954857,0.001,0.9927664399147034,0.993565022945404,0.9790862202644348,0.9966145753860474,0.979292631149292,0.010048807598650455,0.9697160720825195,0.9890604615211487
18,0.9860038757324219,0.9991208910942078,0.9860173463821411,0.004996202886104584,0.001,0.9850674271583557,0.9869691133499146,0.9790862202644348,0.9971187114715576,0.9792530536651611,0.011072389781475067,0.9715009331703186,0.9871299862861633
19,0.9897040128707886,0.999534010887146,0.9897187948226929,0.0036882078275084496,0.001,0.988290011882782,0.9911518692970276,0.9794079661369324,0.9961367249488831,0.979447603225708,0.010622263886034489,0.9775640964508057,0.9813385009765625
20,0.9933236837387085,0.9997471570968628,0.9933230876922607,0.0027587825898081064,0.001,0.9934030771255493,0.9932432174682617,0.9832689762115479,0.9976574778556824,0.983523428440094,0.010530171915888786,0.9687890410423279,0.9987130165100098
21,0.9903475046157837,0.9995985627174377,0.9903551340103149,0.0033654170110821724,0.001,0.9895598888397217,0.9911518692970276,0.9575289487838745,0.9917700290679932,0.9586983323097229,0.02574741281569004,0.9330085515975952,0.9858430027961731
22,0.988095223903656,0.9989085793495178,0.9880971312522888,0.0052525741048157215,0.001,0.9879382252693176,0.9882560968399048,0.9864864945411682,0.9977885484695435,0.9865813851356506,0.007909622974693775,0.9796954393386841,0.993565022945404
23,0.9952541589736938,0.9998473525047302,0.995256781578064,0.0021428868640214205,0.001,0.994697093963623,0.995817244052887,0.9842342138290405,0.9974648356437683,0.984409749507904,0.01042522769421339,0.9735682606697083,0.9954954981803894
24,0.9962998628616333,0.9999211430549622,0.9963027238845825,0.001593979774042964,0.001,0.9955027103424072,0.9971042275428772,0.9861647486686707,0.9975914359092712,0.9862926006317139,0.007652524393051863,0.9772583842277527,0.9954954981803894
25,0.9931628108024597,0.9997327923774719,0.9931676983833313,0.0025192182511091232,0.001,0.9924498200416565,0.9938867688179016,0.9720077514648438,0.995457649230957,0.971540629863739,0.015816209837794304,0.9880239367485046,0.9555984735488892
26,0.9926801919937134,0.9995967149734497,0.9926830530166626,0.0030929059721529484,0.001,0.9922841787338257,0.9930823445320129,0.9794079661369324,0.9963193535804749,0.979797899723053,0.01768144965171814,0.9615861177444458,0.9987130165100098
27,0.9949324131011963,0.9998372197151184,0.9949344396591187,0.002161232754588127,0.001,0.9945346117019653,0.9953346252441406,0.9835907220840454,0.998452365398407,0.9838556051254272,0.011192917823791504,0.968224287033081,1.0
28,0.9950932860374451,0.9998468160629272,0.995100736618042,0.002042618812993169,0.001,0.9935845732688904,0.9966216087341309,0.985199511051178,0.9975606203079224,0.9852089285850525,0.007479570806026459,0.9845758080482483,0.9858430027961731
29,0.9942085146903992,0.9996999502182007,0.9942084550857544,0.002709280466660857,0.001,0.9942085146903992,0.9942085146903992,0.9861647486686707,0.9980063438415527,0.9863013029098511,0.008650330826640129,0.9766561388969421,0.9961389899253845
30,0.9967020750045776,0.9998496770858765,0.996700644493103,0.0016339244320988655,0.001,0.997101902961731,0.9962998628616333,0.9781209826469421,0.9959613084793091,0.9784263372421265,0.014819671399891376,0.9649562239646912,0.992277979850769
31,0.9877734780311584,0.9992824792861938,0.987781286239624,0.004373603034764528,0.001,0.9871465563774109,0.9884169697761536,0.9845559597015381,0.997934877872467,0.9847618341445923,0.00938356388360262,0.9718044996261597,0.9980695247650146
32,0.9990347623825073,0.9999901056289673,0.9990347027778625,0.0007423789938911796,0.001,0.9990347623825073,0.9990347623825073,0.983912467956543,0.9978125691413879,0.9841269254684448,0.010640681721270084,0.9711779356002808,0.9974259734153748
33,0.9991151690483093,0.9999979138374329,0.9991156458854675,0.00047191412886604667,0.0005,0.9985537528991699,0.9996782541275024,0.9855212569236755,0.998457670211792,0.9857097268104553,0.010061428882181644,0.973040759563446,0.9987130165100098
34,0.9998391270637512,0.9999998211860657,0.9998390674591064,0.00024958609719760716,0.0005,0.9998391270637512,0.9998391270637512,0.988095223903656,0.9986124038696289,0.9882202744483948,0.008270838297903538,0.9779458045959473,0.9987130165100098
35,0.9995977878570557,0.9999993443489075,0.9995978474617004,0.0003141727647744119,0.0005,0.9993568062782288,0.9998391270637512,0.988095223903656,0.9985357522964478,0.9882352352142334,0.008907979354262352,0.9767441749572754,1.0
36,0.9996782541275024,0.9999993443489075,0.9996781945228577,0.000298766273772344,0.0005,0.9995175004005432,0.9998391270637512,0.985199511051178,0.998672366142273,0.9854153394699097,0.011583825573325157,0.9712499976158142,1.0
37,0.9995173811912537,0.9999991655349731,0.9995173215866089,0.000300895917462185,0.0005,0.9995173811912537,0.9995173811912537,0.9858430027961731,0.9988004565238953,0.9860228300094604,0.010155212134122849,0.9736511707305908,0.9987130165100098
38,0.9994369149208069,0.9999986290931702,0.9994368553161621,0.0003283692349214107,0.0005,0.9995173215866089,0.9993565082550049,0.9848777055740356,0.9982218742370605,0.9850839972496033,0.010645954869687557,0.9718221426010132,0.9987130165100098
39,0.9964607357978821,0.9999434351921082,0.996461808681488,0.001319156144745648,0.0005,0.9961414933204651,0.9967824816703796,0.9842342138290405,0.9985475540161133,0.9844690561294556,0.013556611724197865,0.970018744468689,0.9993565082550049
40,0.9997586607933044,0.9999999403953552,0.9997586607933044,0.00024266722903121263,0.0005,0.9998391270637512,0.9996782541275024,0.9829472303390503,0.9988580346107483,0.983211874961853,0.011488663032650948,0.9681846499443054,0.9987130165100098
41,0.9993565082550049,0.9999908208847046,0.9993565678596497,0.00040160934440791607,0.0005,0.9991958737373352,0.9995173811912537,0.9832689762115479,0.9976587295532227,0.9834288954734802,0.010410193353891373,0.9741161465644836,0.9929214715957642
42,0.9991956353187561,0.9999971389770508,0.9991956949234009,0.00046102478518150747,0.0005,0.9990350604057312,0.9993565082550049,0.9868082404136658,0.9981866478919983,0.9869633913040161,0.011348680593073368,0.9754871129989624,0.9987130165100098
