epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.5498489141464233,0.49671831727027893,0.9645999670028687,0.001,0.9575757384300232,0.5598159432411194,0.5318361520767212
1,0.6435045599937439,0.7677699327468872,0.6958928108215332,0.001,0.9878787994384766,0.46165645122528076,0.350416898727417
2,0.7779456377029419,0.6712750792503357,0.531812310218811,0.001,0.9818181991577148,0.44325152039527893,0.2916475236415863
3,0.8564954400062561,0.7642787098884583,0.4183071553707123,0.001,0.9878787994384766,0.8650307059288025,0.21377713978290558
4,0.9063444137573242,0.8010753393173218,0.3223032057285309,0.001,0.9878787994384766,0.5061349868774414,0.16649840772151947
5,0.9123867154121399,0.8466694355010986,0.311338871717453,0.001,0.9878787994384766,0.6656441688537598,0.16485416889190674
6,0.9471299052238464,0.7928361892700195,0.2169708013534546,0.001,0.9878787994384766,0.6564416885375977,0.1301872730255127
7,0.9697884917259216,0.9352744221687317,0.1702035665512085,0.001,0.9878787994384766,0.6871165037155151,0.10188896954059601
8,0.9743202328681946,0.9191454648971558,0.15783818066120148,0.001,0.9878787994384766,0.7254601120948792,0.10731919854879379
9,0.9712991118431091,0.8278172612190247,0.13683255016803741,0.001,0.9818181991577148,0.7361963391304016,0.07914223521947861
10,0.9773414134979248,0.884932279586792,0.11763769388198853,0.001,0.9818181991577148,0.7208588719367981,0.07436995953321457
11,0.9833837151527405,0.9641809463500977,0.09015774726867676,0.001,0.9818181991577148,0.446319043636322,0.09703020006418228
12,0.9864048361778259,0.9719312191009521,0.07560407370328903,0.001,0.9818181991577148,0.4447852671146393,0.11593307554721832
13,0.9788519740104675,0.9562910199165344,0.09038767963647842,0.001,0.9818181991577148,0.6886503100395203,0.07481594383716583
14,0.9879153966903687,0.9567797780036926,0.06744233518838882,0.001,0.9818181991577148,0.5828220844268799,0.08034472912549973
15,0.9848942756652832,0.9173997044563293,0.07038969546556473,0.001,0.9818181991577148,0.5490797758102417,0.08426836878061295
16,0.9939576983451843,0.9721407294273376,0.046127721667289734,0.000100000005,0.9818181991577148,0.5306748747825623,0.08408866822719574
17,0.9939576983451843,0.9881301522254944,0.04731643944978714,0.000100000005,0.9818181991577148,0.5076687335968018,0.08379804342985153
18,0.9879153966903687,0.9670437574386597,0.05418627709150314,0.000100000005,0.9818181991577148,0.4677914083003998,0.08412157744169235
19,0.9894259572029114,0.987641453742981,0.06111602485179901,0.000100000005,0.9818181991577148,0.4861963391304016,0.08489437401294708
20,0.9924471378326416,0.9972070455551147,0.04233813285827637,0.000100000005,0.9818181991577148,0.49233129620552063,0.08411484956741333
