,loss,accuracy,auc,val_loss,val_accuracy,val_auc
mean,0.0029429750982671978,0.942874264717102,0.962251353263855,0.041335347667336465,0.972208845615387,0.48247859477996824
std,0.001955529032581642,0.01943251758263496,0.016808372583632165,0.046573363505081594,0.008119925380184832,0.13156667965422578
