,loss,accuracy,auc,val_loss,val_accuracy,val_auc
mean,0.010729339998215437,0.9963732361793518,0.9992740869522094,1.1976438820362092,0.9298284173011779,0.48648348450660706
std,0.0034515652342049846,0.0012072033900767734,0.0011089049355717552,0.6954546261677473,0.02056165477673271,0.07381051012232709
